1995,2,1,0,2110
1995,2,1,1,2480
1995,2,1,2,2800
1995,2,1,3,3070
1995,2,1,4,3240
1995,2,1,5,3300
1995,2,1,6,3240
1995,2,1,7,3120
1995,2,1,8,2910
1995,2,1,9,2620
1995,2,1,10,2320
1995,2,1,11,2070
1995,2,1,12,1690
1995,2,1,13,1380
1995,2,1,14,1120
1995,2,1,15,950
1995,2,1,16,830
1995,2,1,17,730
1995,2,1,18,630
1995,2,1,19,580
1995,2,1,20,580
1995,2,1,21,700
1995,2,1,22,990
1995,2,1,23,1340
1995,2,2,0,1730
1995,2,2,1,2100
1995,2,2,2,2440
1995,2,2,3,2730
1995,2,2,4,2950
1995,2,2,5,3050
1995,2,2,6,3090
1995,2,2,7,3060
1995,2,2,8,2950
1995,2,2,9,2770
1995,2,2,10,2560
1995,2,2,11,2330
1995,2,2,12,2070
1995,2,2,13,1820
1995,2,2,14,1570
1995,2,2,15,1370
1995,2,2,16,1220
1995,2,2,17,1140
1995,2,2,18,1040
1995,2,2,19,960
1995,2,2,20,910
1995,2,2,21,940
1995,2,2,22,1080
1995,2,2,23,1320
1995,2,3,0,1640
1995,2,3,1,1980
1995,2,3,2,2250
1995,2,3,3,2500
1995,2,3,4,2720
1995,2,3,5,2870
1995,2,3,6,2910
1995,2,3,7,2880
1995,2,3,8,2830
1995,2,3,9,2760
1995,2,3,10,2630
1995,2,3,11,2450
1995,2,3,12,2250
1995,2,3,13,2050
1995,2,3,14,1870
1995,2,3,15,1680
1995,2,3,16,1520
1995,2,3,17,1410
1995,2,3,18,1310
1995,2,3,19,1170
1995,2,3,20,1060
1995,2,3,21,1060
1995,2,3,22,1070
1995,2,3,23,1140
1995,2,4,0,1340
1995,2,4,1,1600
1995,2,4,2,1840
1995,2,4,3,2060
1995,2,4,4,2230
1995,2,4,5,2340
1995,2,4,6,2380
1995,2,4,7,2350
1995,2,4,8,2340
1995,2,4,9,2320
1995,2,4,10,2250
1995,2,4,11,2160
1995,2,4,12,2070
1995,2,4,13,1990
1995,2,4,14,1850
1995,2,4,15,1720
1995,2,4,16,1640
1995,2,4,17,1560
1995,2,4,18,1510
1995,2,4,19,1450
1995,2,4,20,1370
1995,2,4,21,1310
1995,2,4,22,1310
1995,2,4,23,1380
1995,2,5,0,1510
1995,2,5,1,1690
1995,2,5,2,1870
1995,2,5,3,1980
1995,2,5,4,2090
1995,2,5,5,2170
1995,2,5,6,2190
1995,2,5,7,2140
1995,2,5,8,2080
1995,2,5,9,2070
1995,2,5,10,2060
1995,2,5,11,2030
1995,2,5,12,1990
1995,2,5,13,1940
1995,2,5,14,1900
1995,2,5,15,1830
1995,2,5,16,1770
1995,2,5,17,1750
1995,2,5,18,1740
1995,2,5,19,1720
1995,2,5,20,1660
1995,2,5,21,1580
1995,2,5,22,1560
1995,2,5,23,1580
1995,2,6,0,1650
1995,2,6,1,1730
1995,2,6,2,1840
1995,2,6,3,1940
1995,2,6,4,1980
1995,2,6,5,1990
1995,2,6,6,1980
1995,2,6,7,1940
1995,2,6,8,1870
1995,2,6,9,1800
1995,2,6,10,1790
1995,2,6,11,1790
1995,2,6,12,1800
1995,2,6,13,1830
1995,2,6,14,1840
1995,2,6,15,1840
1995,2,6,16,1850
1995,2,6,17,1870
1995,2,6,18,1930
1995,2,6,19,1980
1995,2,6,20,1980
1995,2,6,21,1860
1995,2,6,22,1850
1995,2,6,23,1870
1995,2,7,0,1990
1995,2,7,1,2040
1995,2,7,2,2080
1995,2,7,3,2090
1995,2,7,4,2090
1995,2,7,5,2020
1995,2,7,6,1950
1995,2,7,7,1860
1995,2,7,8,1750
1995,2,7,9,1670
1995,2,7,10,1580
1995,2,7,11,1530
1995,2,7,12,1550
1995,2,7,13,1610
1995,2,7,14,1660
1995,2,7,15,1740
1995,2,7,16,1830
1995,2,7,17,1920
1995,2,7,18,2000
1995,2,7,19,2120
1995,2,7,20,2200
1995,2,7,21,2220
1995,2,7,22,2230
1995,2,7,23,2280
1995,2,8,0,2340
1995,2,8,1,2350
1995,2,8,2,2340
1995,2,8,3,2270
1995,2,8,4,2200
1995,2,8,5,2090
1995,2,8,6,1920
1995,2,8,7,1720
1995,2,8,8,1580
1995,2,8,9,1410
1995,2,8,10,1240
1995,2,8,11,1140
1995,2,8,12,1140
1995,2,8,13,1150
1995,2,8,14,1210
1995,2,8,15,1350
1995,2,8,16,1520
1995,2,8,17,1760
1995,2,8,18,1920
1995,2,8,19,2080
1995,2,8,20,2210
1995,2,8,21,2310
1995,2,8,22,2450
1995,2,8,23,2530
1995,2,9,0,2580
